index,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,x_cv_community_coverage,x_cv_past_year,x_cv_poor_response,x_cv_sx_scale,x_ln_mx_conflict,x_ln_mx_war_10years,year_end,year_start
41,99,65,,CHN,p,,,female,0.02421,,0.0525,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
42,24,15,,CHN,p,,,male,0.00976,,0.0215,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
43,24,15,,CHN,p,,,female,0.01018,,0.0201,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
44,34,25,,CHN,p,,,male,0.0079,,0.01995,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
45,34,25,,CHN,p,,,female,0.00656,,0.0144,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
46,44,35,,CHN,p,,,male,0.00671,,0.0132,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
47,44,35,,CHN,p,,,female,0.00681,,0.0178,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
48,54,45,,CHN,p,,,male,0.00765,,0.0124,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
49,54,45,,CHN,p,,,female,0.01199,,0.0237,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
50,64,55,,CHN,p,,,male,0.01218,,0.01995,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
51,64,55,,CHN,p,,,female,0.01185,,0.0194,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
52,99,65,,CHN,p,,,male,0.01725,,0.0317,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
53,99,65,,CHN,p,,,female,0.02421,,0.0525,0,0,0,0,-3.84459574582,-2.51678346617,2006,2005
54,99,65,,TWN,p,,,total,0.01271,,0.1177,0,0,0,0,-3.84459574582,-4.01749234386,1998,1996
55,16,12,,TWN,p,,,male,0.00729,,0.01,1,0,0,0,-3.84459574582,-4.01749234386,1999,1998
56,16,12,,TWN,p,,,female,0.05359,,0.0858,1,0,0,0,-3.84459574582,-4.01749234386,1999,1998
57,99,18,,CHN,p,,,total,0.00194,,0.0313,0,0,0,0,-2.21384887206,-2.52487455535,2002,2001
58,99,18,,CHN,p,,,total,0.0014,,0.0447,0,0,0,0,-2.21384887206,-2.52487455535,2002,2001
59,99,18,,CHN,p,,,male,0.00143,,0.0309,0,0,0,0,-3.84459574582,-2.51556039455,2005,2001
60,99,18,,CHN,p,,,female,0.00179,,0.0519,0,0,0,0,-3.84459574582,-2.51556039455,2005,2001
61,39,18,,CHN,p,,,total,0.00134,,0.0229,0,0,0,0,-3.84459574582,-2.51556039455,2005,2001
62,54,40,,CHN,p,,,total,0.00229,,0.0543,0,0,0,0,-3.84459574582,-2.51556039455,2005,2001
63,99,55,,CHN,p,,,total,0.00302,,0.0762,0,0,0,0,-3.84459574582,-2.51556039455,2005,2001
64,95,18,,CHN,p,,,male,0.00295,,0.0448,0,0,0,0,-2.80367337211,-2.51563879658,2005,2004
65,95,18,,CHN,p,,,female,0.00345,,0.0629,0,0,0,0,-2.80367337211,-2.51563879658,2005,2004
66,19,18,,CHN,p,510.0,,total,0.00366,,0.0033,0,0,0,0,-2.80367337211,-2.51563879658,2005,2004
67,29,20,,CHN,p,4272.0,,total,0.00327,,0.0223,0,0,0,0,-2.80367337211,-2.51563879658,2005,2004
68,39,30,,CHN,p,5341.0,,total,0.0037,,0.036,0,0,0,0,-2.80367337211,-2.51563879658,2005,2004
69,49,40,,CHN,p,4026.0,,total,0.00546,,0.0609,0,0,0,0,-2.80367337211,-2.51563879658,2005,2004
70,59,50,,CHN,p,3094.0,,total,0.00716,,0.0823,0,0,0,0,-2.80367337211,-2.51563879658,2005,2004
71,69,60,,CHN,p,1756.0,,total,0.0098,,0.0882,0,0,0,0,-2.80367337211,-2.51563879658,2005,2004
72,95,70,,CHN,p,1717.0,,total,0.00849,,0.0629,0,0,0,0,-2.80367337211,-2.51563879658,2005,2004
73,64,18,,CHN,p,,,total,0.01314,,0.0499,1,0,0,0,-2.45633911351,-2.5142432405,2002,2002
74,99,18,,PAK,p,,,female,0.01102,,0.075,1,0,0,0,-2.06743938655,-2.33500052655,2000,2000
75,16,4,,IND,p,,,total,0.00115,,0.001,1,0,0,0,-2.01856619866,-2.03084770332,2000,1995
76,99,15,,AFG,p,,,male,0.0559,,0.59,0,0,0,0,-1.77094404739,-1.32129524732,2002,2002
77,99,15,,AFG,p,,,female,0.0815,,0.73,0,0,0,0,-1.77094404739,-1.32129524732,2002,2002
78,49,18,,NPL,p,,,total,0.01064,,0.026,1,0,0,1,-1.98820990172,-2.24436778343,1998,1996
79,99,50,,NPL,p,,,male,0.02963,,0.036,1,0,0,1,-1.98820990172,-2.24436778343,1998,1996
80,99,50,,NPL,p,,,female,0.03204,,0.051,1,0,0,1,-1.98820990172,-2.24436778343,1998,1996
81,99,15,,AFG,p,,0.128,male,-0.99,0.194,0.161,0,0,0,0,-1.62878114222,-1.33781925852,2003,2003
82,99,15,,AFG,p,,0.542,female,-0.99,0.626,0.584,0,0,0,0,-1.62878114222,-1.33781925852,2003,2003
83,64,18,,IND,p,,0.061,total,-0.99,0.111,0.086,1,0,0,0,-1.91285185763,-2.06278868909,2002,2002
84,9,0,,VNM,p,5024.0,,male,0.00286,,0.01995,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
85,19,10,,VNM,p,,,male,0.00149,,0.0073,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
86,29,20,,VNM,p,,,male,0.00293,,0.0289,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
87,39,30,,VNM,p,,,male,0.00349,,0.0367,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
88,49,40,,VNM,p,,,male,0.00329,,0.0319,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
89,59,50,,VNM,p,,,male,0.00552,,0.0459,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
90,69,60,,VNM,p,,,male,0.00524,,0.0363,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
91,99,70,,VNM,p,,,male,0.00444,,0.0182,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
92,9,0,,VNM,p,5109.0,,female,0.00283,,0.01995,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
93,19,10,,VNM,p,,,female,0.00251,,0.022,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
94,29,20,,VNM,p,,,female,0.00493,,0.0889,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
95,39,30,,VNM,p,,,female,0.00586,,0.1135,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
96,49,40,,VNM,p,,,female,0.0055,,0.0978,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
97,59,50,,VNM,p,,,female,0.0091,,0.1409,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
98,69,60,,VNM,p,,,female,0.00814,,0.1034,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
99,99,70,,VNM,p,,,female,0.00647,,0.0478,0,1,0,0,-3.84459574582,-4.01749234386,2006,2006
100,19,17,,NZL,p,,0.111,total,-0.99,0.159,0.133,1,1,0,0,,-4.01749234386,1991,1990
101,19,17,,NZL,p,,0.023,total,-0.99,0.048,0.034,1,0,0,0,,-4.01749234386,1991,1990
102,9,9,,NZL,p,,0.0,total,-0.99,0.036,0.018,1,0,0,0,,,1982,1981
103,15,15,,NZL,p,,0.005,total,-0.99,0.019,0.012,1,0,0,0,-3.84459574582,-4.01749234386,1988,1987
104,17,13,,AUS,p,,,male,0.01012,,0.037,0,1,0,0,-3.84459574582,-4.01749234386,1997,1997
105,17,13,,AUS,p,,,female,0.01079,,0.044,0,1,0,0,-3.84459574582,-4.01749234386,1997,1997
106,9,9,,NZL,p,,0.0,total,-0.99,0.028,0.011,1,1,0,0,,,1982,1981
107,24,18,,AUS,p,,,male,0.008,,0.015,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
108,24,18,,AUS,p,,,female,0.013,,0.04,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
109,34,25,,AUS,p,,,male,0.006,,0.028,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
110,34,25,,AUS,p,,,female,0.006,,0.049,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
111,44,35,,AUS,p,,,male,0.005,,0.022,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
112,44,35,,AUS,p,,,female,0.005,,0.04,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
113,54,45,,AUS,p,,,male,0.007,,0.04,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
114,54,45,,AUS,p,,,female,0.008,,0.058,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
115,64,55,,AUS,p,,,male,0.01,,0.026,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
116,64,55,,AUS,p,,,female,0.007,,0.052,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
117,75,65,,AUS,p,,,male,0.004,,0.01,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
118,75,65,,AUS,p,,,female,0.004,,0.013,0,0,0,0,-3.84459574582,-4.01749234386,1997,1997
119,29,15,,AUS,p,403.0,,male,-0.99,,0.027,0,0,0,1,-3.84459574582,-4.01749234386,1998,1998
120,29,15,,AUS,p,394.0,,female,-0.99,,0.099,0,0,0,1,-3.84459574582,-4.01749234386,1998,1998
121,49,30,,AUS,p,571.0,,male,-0.99,,0.081,0,0,0,1,-3.84459574582,-4.01749234386,1998,1998
122,49,30,,AUS,p,576.0,,female,-0.99,,0.072,0,0,0,1,-3.84459574582,-4.01749234386,1998,1998
123,69,50,,AUS,p,350.0,,male,-0.99,,0.047,0,0,0,1,-3.84459574582,-4.01749234386,1998,1998
124,69,50,,AUS,p,346.0,,female,-0.99,,0.085,0,0,0,1,-3.84459574582,-4.01749234386,1998,1998
125,15,15,,NZL,p,,0.01,total,-0.99,0.028,0.019,1,1,0,0,-3.84459574582,-4.01749234386,1988,1987
126,99,16,,NZL,p,,0.035,male,-0.99,0.05,0.042,0,1,0,0,-3.84459574582,-4.01749234386,2004,2003
127,99,16,,NZL,p,,0.063,female,-0.99,0.078,0.071,0,1,0,0,-3.84459574582,-4.01749234386,2004,2003
128,24,16,,NZL,p,,0.068,total,-0.99,0.11,0.087,0,1,0,0,-3.84459574582,-4.01749234386,2004,2003
129,44,25,,NZL,p,,0.056,total,-0.99,0.072,0.063,0,1,0,0,-3.84459574582,-4.01749234386,2004,2003
130,64,45,,NZL,p,,0.044,total,-0.99,0.062,0.052,0,1,0,0,-3.84459574582,-4.01749234386,2004,2003
131,99,65,,NZL,p,,0.012,total,-0.99,0.024,0.017,0,1,0,0,-3.84459574582,-4.01749234386,2004,2003
132,85,16,,AUS,p,,,male,0.00425,,0.031,0,1,0,0,-3.84459574582,-4.01749234386,2007,2007
133,85,16,,AUS,p,,,female,0.00418,,0.051,0,1,0,0,-3.84459574582,-4.01749234386,2007,2007
134,15,15,,NZL,p,,0.001,total,-0.99,0.009,0.005,1,0,0,0,,-4.01749234386,1992,1992
135,29,15,,AUS,p,370.0,,male,-0.99,,0.024,0,0,0,1,-3.84459574582,-4.01749234386,2004,2004
136,29,15,,AUS,p,357.0,,female,-0.99,,0.144,0,0,0,1,-3.84459574582,-4.01749234386,2004,2004
137,49,30,,AUS,p,538.0,,male,-0.99,,0.072,0,0,0,1,-3.84459574582,-4.01749234386,2004,2004
138,49,30,,AUS,p,544.0,,female,-0.99,,0.107,0,0,0,1,-3.84459574582,-4.01749234386,2004,2004
139,69,50,,AUS,p,400.0,,male,-0.99,,0.071,0,0,0,1,-3.84459574582,-4.01749234386,2004,2004
140,69,50,,AUS,p,400.0,,female,-0.99,,0.081,0,0,0,1,-3.84459574582,-4.01749234386,2004,2004
141,64,18,,PRI,p,,,female,0.006,,0.033,0,0,0,0,-2.01238389795,-2.08804982216,1984,1984
142,64,18,,PRI,p,,,male,0.006,,0.024,0,0,0,0,-2.01238389795,-2.08804982216,1984,1984
143,24,18,,PRI,p,,,total,0.009,,0.026,0,0,0,0,-2.01238389795,-2.08804982216,1984,1984
144,44,25,,PRI,p,,,total,0.006,,0.028,0,0,0,0,-2.01238389795,-2.08804982216,1984,1984
145,64,45,,PRI,p,,,total,0.009,,0.032,0,0,0,0,-2.01238389795,-2.08804982216,1984,1984
146,17,4,,PRI,p,,0.02,total,-0.99,0.045,0.03,0,1,0,0,-2.23752768401,-2.07613271407,2000,1999
147,65,18,,HRV,p,,,total,0.02717,,0.1,1,0,0,0,-2.03196618539,-1.4465142606,2002,2000
148,24,18,,HUN,p,,0.025,male,-0.99,0.081,0.053,0,1,0,0,,-2.5302529344,1996,1995
149,24,18,,HUN,p,,0.053,female,-0.99,0.118,0.085,0,1,0,0,,-2.5302529344,1996,1995
150,34,25,,HUN,p,,0.028,male,-0.99,0.082,0.054,0,1,0,0,,-2.5302529344,1996,1995
151,34,25,,HUN,p,,0.054,female,-0.99,0.115,0.084,0,1,0,0,,-2.5302529344,1996,1995
152,44,35,,HUN,p,,0.034,male,-0.99,0.086,0.06,0,1,0,0,,-2.5302529344,1996,1995
153,44,35,,HUN,p,,0.044,female,-0.99,0.094,0.069,0,1,0,0,,-2.5302529344,1996,1995
154,54,45,,HUN,p,,0.038,male,-0.99,0.097,0.077,0,1,0,0,,-2.5302529344,1996,1995
155,54,45,,HUN,p,,0.106,female,-0.99,0.179,0.143,0,1,0,0,,-2.5302529344,1996,1995
156,64,55,,HUN,p,,0.006,male,-0.99,0.053,0.03,0,1,0,0,,-2.5302529344,1996,1995
157,64,55,,HUN,p,,0.038,female,-0.99,0.095,0.067,0,1,0,0,,-2.5302529344,1996,1995
158,24,18,,HUN,p,,0.005,male,-0.99,0.044,0.025,0,0,0,0,,-2.5302529344,1996,1995
159,24,18,,HUN,p,,0.014,female,-0.99,0.057,0.034,0,0,0,0,,-2.5302529344,1996,1995
160,34,25,,HUN,p,,0.007,male,-0.99,0.045,0.026,0,0,0,0,,-2.5302529344,1996,1995
161,34,25,,HUN,p,,0.012,female,-0.99,0.051,0.031,0,0,0,0,,-2.5302529344,1996,1995
162,44,35,,HUN,p,,0.002,male,-0.99,0.029,0.016,0,0,0,0,,-2.5302529344,1996,1995
163,44,35,,HUN,p,,0.01,female,-0.99,0.041,0.026,0,0,0,0,,-2.5302529344,1996,1995
164,54,45,,HUN,p,,0.002,male,-0.99,0.024,0.011,0,0,0,0,,-2.5302529344,1996,1995
165,54,45,,HUN,p,,0.024,female,-0.99,0.068,0.046,0,0,0,0,,-2.5302529344,1996,1995
166,64,55,,HUN,p,,,male,-0.99,,0.0,0,0,0,0,,-2.5302529344,1996,1995
167,64,55,,HUN,p,,0.004,female,-0.99,0.036,0.02,0,0,0,0,,-2.5302529344,1996,1995
168,65,18,,HRV,p,,,total,0.02834,,0.11,1,1,0,0,-2.03196618539,-1.4465142606,2002,2000
169,79,18,,CZE,p,,,total,0.003,,0.01,0,0,0,0,-3.84459574582,-2.73605825506,1999,1998
170,65,18,,RUS,p,,,male,0.06332,,0.145,1,1,0,0,-1.18888643775,-1.3510974258,1995,1995
171,65,18,,RUS,p,,,female,0.08325,,0.354,1,1,0,0,-1.18888643775,-1.3510974258,1995,1995
172,79,15,,EST,p,,,male,0.067,,0.067,0,0,0,0,,-1.62005244307,1997,1996
173,79,15,,EST,p,,,female,0.018,,0.149,0,0,0,0,,-1.62005244307,1997,1996
174,19,15,,EST,p,,,total,0.02207,,0.092,0,0,0,0,,-1.62005244307,1997,1996
175,29,20,,EST,p,,,total,0.01353,,0.061,0,0,0,0,,-1.62005244307,1997,1996
176,39,30,,EST,p,,,total,0.0151,,0.088,0,0,0,0,,-1.62005244307,1997,1996
177,49,40,,EST,p,,,total,0.01712,,0.112,0,0,0,0,,-1.62005244307,1997,1996
178,59,50,,EST,p,,,total,0.01832,,0.113,0,0,0,0,,-1.62005244307,1997,1996
179,99,18,,UKR,p,,,male,0.0048,,0.0487,0,1,0,0,-1.24197769538,-1.31370279504,2002,2002
180,99,18,,UKR,p,,,female,0.0083,,0.1134,0,1,0,0,-1.24197769538,-1.31370279504,2002,2002
181,99,18,,UKR,p,,,male,0.0034,,0.0261,0,0,0,0,-1.24197769538,-1.31370279504,2002,2002
182,99,18,,UKR,p,,,female,0.0065,,0.066,0,0,0,0,-1.24197769538,-1.31370279504,2002,2002
183,59,55,,NLD,p,,,male,0.03242,,0.124,0,0,0,0,,-2.57867402622,1993,1992
184,59,55,,NLD,p,,,female,0.02849,,0.091,0,0,0,0,,-2.57867402622,1993,1992
185,64,60,,NLD,p,,,male,0.02394,,0.073,0,0,0,0,,-2.57867402622,1993,1992
186,64,60,,NLD,p,,,female,0.03107,,0.155,0,0,0,0,,-2.57867402622,1993,1992
187,69,65,,NLD,p,,,male,0.02522,,0.07,0,0,0,0,,-2.57867402622,1993,1992
188,69,65,,NLD,p,,,female,0.03326,,0.179,0,0,0,0,,-2.57867402622,1993,1992
189,74,70,,NLD,p,,,male,0.02961,,0.106,0,0,0,0,,-2.57867402622,1993,1992
190,74,70,,NLD,p,,,female,0.03647,,0.18,0,0,0,0,,-2.57867402622,1993,1992
191,79,75,,NLD,p,,,male,0.02979,,0.146,0,0,0,0,,-2.57867402622,1993,1992
192,79,75,,NLD,p,,,female,0.03672,,0.229,0,0,0,0,,-2.57867402622,1993,1992
193,85,80,,NLD,p,,,male,0.03097,,0.148,0,0,0,0,,-2.57867402622,1993,1992
194,85,80,,NLD,p,,,female,0.03657,,0.247,0,0,0,0,,-2.57867402622,1993,1992
195,57,55,,ISL,p,,,male,0.01286,,0.036,0,1,0,0,,-4.01749234386,1988,1987
196,57,55,,ISL,p,,,female,0.0179,,0.069,0,1,0,0,,-4.01749234386,1988,1987
197,57,55,,ISL,p,,,male,0.00989,,0.021,0,0,0,0,,-4.01749234386,1988,1987
198,57,55,,ISL,p,,,female,0.01554,,0.051,0,0,0,0,,-4.01749234386,1988,1987
199,99,65,,IRL,p,,,male,0.00657,,0.009,1,0,0,0,,-2.57486368771,1995,1995
200,99,65,,IRL,p,,,female,0.00362,,0.005,1,0,0,0,,-2.57486368771,1995,1995
201,99,65,,FRA,p,,,female,0.00315,,0.023,0,0,0,0,-2.12193966854,-2.44953020748,2001,1999
202,10,5,,GBR,p,,,female,0.00181,,0.003,0,0,0,0,-2.2377227566,-2.22120782468,2004,2004
203,16,11,,GBR,p,,,female,0.00448,,0.019,0,0,0,0,-2.2377227566,-2.22120782468,2004,2004
204,9,8,,FIN,p,,,female,0.00395120994,,0.047,0,0,0,0,-2.08447072467,-2.25623785031,1989,1989
205,99,65,,FIN,p,,,female,0.0085,,0.022,1,0,0,0,-2.08447072467,-2.25623785031,1990,1989
206,99,65,,FRA,p,,0.029,female,-0.99,0.052,0.04,1,0,0,0,-2.12193966854,-2.44953020748,2001,1999
207,24,20,,FIN,p,,0.029,female,-0.99,0.127,0.078,0,0,0,0,-2.12516586915,-2.25281952193,1995,1995
208,64,18,,FIN,p,,0.021,female,-0.99,0.068,0.038,1,0,0,0,-2.14797435721,-2.28861788743,2001,1999
209,17,14,,DEU,p,,,male,0.007,,0.024,1,1,0,0,-2.3111750915,-2.32888516845,1997,1995
210,17,14,,DEU,p,,,female,0.009,,0.045,1,1,0,0,-2.3111750915,-2.32888516845,1997,1995
211,64,18,,FIN,p,,0.039,female,-0.99,0.11,0.066,1,0,0,0,-2.14797435721,-2.28861788743,2001,1999
212,69,65,,GBR,p,,,male,0.00866,,0.017,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
213,69,65,,GBR,p,,,female,0.01321,,0.043,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
214,74,70,,GBR,p,,,male,0.01137,,0.031,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
215,74,70,,GBR,p,,,female,0.01081,,0.027,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
216,79,75,,GBR,p,,,male,0.01067,,0.025,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
217,79,75,,GBR,p,,,female,0.0104,,0.024,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
218,84,80,,GBR,p,,,male,0.01191,,0.031,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
219,84,80,,GBR,p,,,female,0.01206,,0.035,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
220,89,85,,GBR,p,,,male,0.01034,,0.023,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
221,89,85,,GBR,p,,,female,0.01005,,0.022,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
222,99,90,,GBR,p,,,male,0.01764,,0.026,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
223,99,90,,GBR,p,,,female,0.01284,,0.036,1,0,0,0,-2.12681648342,-2.11748194306,1991,1989
224,44,30,,FIN,p,949.0,,female,-0.99,,0.084,0,1,0,0,-2.14797435721,-2.28861788743,2001,2000
225,54,45,,FIN,p,718.0,,female,-0.99,,0.071,0,1,0,0,-2.14797435721,-2.28861788743,2001,2000
226,64,55,,FIN,p,519.0,,female,-0.99,,0.059,0,1,0,0,-2.14797435721,-2.28861788743,2001,2000
227,64,18,,IRL,p,,0.026,female,-0.99,0.168,0.059,1,0,0,0,-3.84459574582,-2.62019573968,2001,1999
228,64,18,,IRL,p,,0.039,female,-0.99,0.439,0.152,1,0,0,0,-3.84459574582,-2.62019573968,2001,1999
229,64,18,,NOR,p,,0.056,female,-0.99,0.152,0.094,1,0,0,0,,-2.45845235814,2001,1999
230,64,18,,NOR,p,,0.038,female,-0.99,0.238,0.1,1,0,0,0,,-2.45845235814,2001,1999
231,64,18,,ESP,p,,0.01,female,-0.99,0.031,0.018,1,0,0,0,-2.11743799327,-2.33315023872,2001,1999
232,64,18,,GBR,p,,0.002,female,-0.99,0.079,0.047,1,0,0,0,-2.07303646948,-2.19152481729,2001,1999
233,65,16,,GBR,p,,0.014,male,-0.99,0.022,0.018,0,0,0,0,-2.10766935792,-2.16391162341,1993,1993
234,65,16,,GBR,p,,0.023,female,-0.99,0.031,0.027,0,0,0,0,-2.10766935792,-2.16391162341,1993,1993
235,64,18,,GBR,p,,0.101,female,-0.99,0.3902,0.2115,1,0,0,0,-2.07303646948,-2.19152481729,2001,1999
236,99,65,,FRA,p,,,male,0.00217,,0.007,0,0,0,0,-2.12193966854,-2.44953020748,2001,1999
237,10,5,,GBR,p,,,male,0.00144,,0.002,0,0,0,0,-2.2377227566,-2.22120782468,2004,2004
238,15,11,,GBR,p,,,total,0.01581,,0.12,0,0,0,1,-2.10766935792,-2.16391162341,1993,1993
239,16,11,,GBR,p,,,male,0.00314,,0.01,0,0,0,0,-2.2377227566,-2.22120782468,2004,2004
